student1@example.com;George Harris;1A Básico;9
student2@mail.com;Karen Lee;4A Básico;2
student3@school.edu;John Doe;3A Básico;1
student4@mail.com;Fiona Green;8A Básico;10
student5@school.edu;Helen Ivers;7A Básico;6
student6@example.com;Eva Foster;5B Básico;7
student7@example.com;David Evans;4B Básico;2
student8@school.edu;Tom Underwood;2A Básico;4
student9@mail.com;David Evans;2B Básico;6
student10@example.com;Amanda Bailey;7A Básico;9
student11@mail.com;Wendy Xander;1B Básico;10
student12@school.edu;George Harris;6A Básico;1
student13@example.com;Molly Norris;5A Básico;3
student14@example.com;Helen Ivers;3A Básico;6
student15@school.edu;Paula Quinn;1A Básico;3
student16@school.edu;Alice Johnson;4B Básico;7
student17@school.edu;Molly Norris;2B Básico;3
student18@school.edu;Daisy Evans;6B Básico;5
student19@example.com;Eva Foster;1A Básico;3
student20@school.edu;Rachel Smith;10A Básico;8
student21@mail.com;Nick Owens;8B Básico;2
student22@mail.com;Nora O'Brien;8A Básico;2
student23@example.com;Ian Jones;9B Básico;1
student24@example.com;Helen Ivers;6B Básico;7
student25@example.com;David Evans;7A Básico;8
student26@mail.com;George Harris;9A Básico;2
student27@example.com;Xavier Young;6B Básico;4
student28@example.com;Victor White;7A Básico;1
student29@example.com;Paula Quinn;3B Básico;10
student30@example.com;Sara Thompson;5A Básico;2
student31@school.edu;Victor White;9A Básico;6
student32@mail.com;Nora O'Brien;2B Básico;2
student33@example.com;Paula Quinn;3A Básico;1
student34@school.edu;Charlie Davis;4B Básico;4
student35@example.com;Liam Martin;1A Básico;8
student36@school.edu;Paula Quinn;4A Básico;3
student37@school.edu;Ian Jones;6B Básico;4
student38@mail.com;Wendy Xander;8A Básico;7
student39@example.com;Wendy Xander;6B Básico;5
student40@mail.com;Nora O'Brien;4B Básico;6
student41@mail.com;Wendy Xander;3B Básico;8
student42@example.com;George Harris;5B Básico;1
student43@mail.com;Ryan Smith;10B Básico;8
student44@school.edu;Grace Hill;3B Básico;1
student45@example.com;Kathy Lewis;9B Básico;10
student46@example.com;Jake Kelly;7B Básico;4
student47@example.com;Tina Underwood;8B Básico;3
student48@example.com;John Doe;10A Básico;8
student49@school.edu;Eva Foster;7A Básico;6
student50@example.com;Brandon Clark;3A Básico;9
